algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
binaria,100,ausente,29,7,100,10500
lineal,1000,inicio,0,1,100,0
binaria,1000,inicio,0,9,200,117900
lineal,1000,inicio,1,1,100,0
binaria,1000,inicio,1,9,200,117900
lineal,1000,inicio,2,1,100,0
binaria,1000,inicio,2,9,100,117900
lineal,1000,inicio,3,1,0,0
binaria,1000,inicio,3,9,200,117900
lineal,1000,inicio,4,1,100,0
binaria,1000,inicio,4,9,100,117900
lineal,1000,inicio,5,1,100,0
binaria,1000,inicio,5,9,100,117900
lineal,1000,inicio,6,1,100,0
binaria,1000,inicio,6,9,100,117900
lineal,1000,inicio,7,1,0,0
binaria,1000,inicio,7,9,100,117900
lineal,1000,inicio,8,1,100,0
binaria,1000,inicio,8,9,100,117900
lineal,1000,inicio,9,1,100,0
binaria,1000,inicio,9,9,100,117900
lineal,1000,inicio,10,1,100,0
binaria,1000,inicio,10,9,100,117900
lineal,1000,inicio,11,1,100,0
binaria,1000,inicio,11,9,100,117900
lineal,1000,inicio,12,1,100,0
binaria,1000,inicio,12,9,100,117900
lineal,1000,inicio,13,1,100,0
binaria,1000,inicio,13,9,100,117900
lineal,1000,inicio,14,1,100,0
binaria,1000,inicio,14,9,100,117900
lineal,1000,inicio,15,1,100,0
binaria,1000,inicio,15,9,200,117900
lineal,1000,inicio,16,1,100,0
binaria,1000,inicio,16,9,100,117900
lineal,1000,inicio,17,1,100,0
binaria,1000,inicio,17,9,100,117900
lineal,1000,inicio,18,1,100,0
binaria,1000,inicio,18,9,100,117900
lineal,1000,inicio,19,1,0,0
binaria,1000,inicio,19,9,100,117900
lineal,1000,inicio,20,1,100,0
binaria,1000,inicio,20,9,100,117900
lineal,1000,inicio,21,1,100,0
binaria,1000,inicio,21,9,100,117900
lineal,1000,inicio,22,1,100,0
binaria,1000,inicio,22,9,100,117900
lineal,1000,inicio,23,1,0,0
binaria,1000,inicio,23,9,100,117900
lineal,1000,inicio,24,1,100,0
binaria,1000,inicio,24,9,100,117900
lineal,1000,inicio,25,1,0,0
binaria,1000,inicio,25,9,100,117900
lineal,1000,inicio,26,1,100,0
binaria,1000,inicio,26,9,100,117900
lineal,1000,inicio,27,1,100,0
binaria,1000,inicio,27,9,100,117900
lineal,1000,inicio,28,1,100,0
binaria,1000,inicio,28,9,100,117900
lineal,1000,inicio,29,1,100,0
binaria,1000,inicio,29,9,100,117900
lineal,1000,centro,0,501,800,0
binaria,1000,centro,0,9,200,117900
lineal,1000,centro,1,501,700,0
binaria,1000,centro,1,9,200,117900
lineal,1000,centro,2,501,600,0
binaria,1000,centro,2,9,200,117900
lineal,1000,centro,3,501,700,0
binaria,1000,centro,3,9,200,117900
lineal,1000,centro,4,501,700,0
binaria,1000,centro,4,9,200,117900
lineal,1000,centro,5,501,500,0
binaria,1000,centro,5,9,100,117900
lineal,1000,centro,6,501,700,0
binaria,1000,centro,6,9,100,117900
lineal,1000,centro,7,501,700,0
binaria,1000,centro,7,9,100,117900
lineal,1000,centro,8,501,600,0
binaria,1000,centro,8,9,200,117900
lineal,1000,centro,9,501,600,0
