algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,1000,ausente,23,1000,116400,0
binaria,1000,ausente,23,10,3000,307200
lineal,1000,ausente,24,1000,119100,0
binaria,1000,ausente,24,10,2900,307200
lineal,1000,ausente,25,1000,119300,0
binaria,1000,ausente,25,10,3200,307200
lineal,1000,ausente,26,1000,125900,0
binaria,1000,ausente,26,10,3500,307200
lineal,1000,ausente,27,1000,111100,0
binaria,1000,ausente,27,10,3100,307200
lineal,1000,ausente,28,1000,105000,0
binaria,1000,ausente,28,10,3200,307200
lineal,1000,ausente,29,1000,105400,0
binaria,1000,ausente,29,10,3300,307200
lineal,10000,inicio,0,1,5900,0
binaria,10000,inicio,0,12,9500,2943200
lineal,10000,inicio,1,1,2300,0
binaria,10000,inicio,1,12,6100,2943200
lineal,10000,inicio,2,1,1000,0
binaria,10000,inicio,2,12,5200,2943200
lineal,10000,inicio,3,1,1000,0
binaria,10000,inicio,3,12,4800,2943200
lineal,10000,inicio,4,1,1000,0
binaria,10000,inicio,4,12,5000,2943200
lineal,10000,inicio,5,1,1100,0
binaria,10000,inicio,5,12,4900,2943200
lineal,10000,inicio,6,1,900,0
binaria,10000,inicio,6,12,4500,2943200
lineal,10000,inicio,7,1,1000,0
binaria,10000,inicio,7,12,5000,2943200
lineal,10000,inicio,8,1,900,0
binaria,10000,inicio,8,12,4800,2943200
lineal,10000,inicio,9,1,800,0
binaria,10000,inicio,9,12,5200,2943200
lineal,10000,inicio,10,1,1000,0
binaria,10000,inicio,10,12,4200,2943200
lineal,10000,inicio,11,1,1200,0
binaria,10000,inicio,11,12,4500,2943200
lineal,10000,inicio,12,1,900,0
binaria,10000,inicio,12,12,4900,2943200
lineal,10000,inicio,13,1,1000,0
binaria,10000,inicio,13,12,4700,2943200
lineal,10000,inicio,14,1,900,0
binaria,10000,inicio,14,12,4900,2943200
lineal,10000,inicio,15,1,1100,0
binaria,10000,inicio,15,12,4400,2943200
lineal,10000,inicio,16,1,900,0
binaria,10000,inicio,16,12,4400,2943200
lineal,10000,inicio,17,1,900,0
binaria,10000,inicio,17,12,5400,2943200
lineal,10000,inicio,18,1,1200,0
binaria,10000,inicio,18,12,4200,2943200
lineal,10000,inicio,19,1,800,0
binaria,10000,inicio,19,12,5300,2943200
lineal,10000,inicio,20,1,1100,0
binaria,10000,inicio,20,12,4400,2943200
lineal,10000,inicio,21,1,900,0
binaria,10000,inicio,21,12,5500,2943200
lineal,10000,inicio,22,1,1200,0
binaria,10000,inicio,22,12,5600,2943200
lineal,10000,inicio,23,1,1200,0
binaria,10000,inicio,23,12,5800,2943200
lineal,10000,inicio,24,1,1100,0
binaria,10000,inicio,24,12,5400,2943200
lineal,10000,inicio,25,1,1000,0
binaria,10000,inicio,25,12,5500,2943200
lineal,10000,inicio,26,1,1200,0
binaria,10000,inicio,26,12,5900,2943200
lineal,10000,inicio,27,1,1400,0
binaria,10000,inicio,27,12,5900,2943200
lineal,10000,inicio,28,1,1200,0
binaria,10000,inicio,28,12,5800,2943200
lineal,10000,inicio,29,1,1200,0
binaria,10000,inicio,29,12,4400,2943200
lineal,10000,centro,0,2187,1051900,0
binaria,10000,centro,0,12,12000,2943200
lineal,10000,centro,1,2187,397800,0
binaria,10000,centro,1,12,8400,2943200
lineal,10000,centro,2,2187,436500,0
binaria,10000,centro,2,12,6700,2943200
lineal,10000,centro,3,2187,3265000,0
binaria,10000,centro,3,12,13100,2943200
lineal,10000,centro,4,2187,537100,0
binaria,10000,centro,4,12,11500,2943200
lineal,10000,centro,5,2187,443500,0
binaria,10000,centro,5,12,8800,2943200
lineal,10000,centro,6,2187,457000,0
binaria,10000,centro,6,12,6800,2943200
lineal,10000,centro,7,2187,462900,0
binaria,10000,centro,7,12,8100,2943200
lineal,10000,centro,8,2187,469400,0
binaria,10000,centro,8,12,6500,2943200
lineal,10000,centro,9,2187,449500,0
binaria,10000,centro,9,12,6700,2943200
lineal,10000,centro,10,2187,449000,0
